Feature,Importance
free,0.1402326366864147
language,0.08514186405538242
http,0.07629749616408575
money,0.060535743743076714
university,0.056167891943567756
get,0.03894253307342071
linguistics,0.03756408656882795
com,0.03528019499780651
site,0.03204286015832152
day,0.029978723453240142
email,0.02205874287573585
call,0.01963298005733755
english,0.018353716144983656
time,0.01631957716745774
edu,0.01568285762987194
order,0.012442243049908612
new,0.012408534013300025
mail,0.010221857680663074
make,0.00915083980438232
linguist,0.00909122370124324
web,0.009083273065497673
report,0.009037279579042832
de,0.008657344485390999
paper,0.008292851192073994
www,0.008099159866664972
please,0.007881830839639383
linguistic,0.00712496105305304
fax,0.007029667370860312
conference,0.006832181487312509
information,0.006537682935586871
list,0.006236630106305555
research,0.0060568902269719956
see,0.005914458948379362
take,0.005828634457804976
address,0.005589490397760888
available,0.005547449552241255
nt,0.0052467906462753495
study,0.00514923208761936
send,0.004987213531369384
name,0.004875308800096103
would,0.004830153027116312
year,0.0045597899307920015
book,0.0039026121641219124
one,0.0037651287267674396
speaker,0.0037470400311601488
program,0.0036526159923546218
theory,0.003436781564773576
also,0.003251034047440123
number,0.003095652479001206
word,0.003078280500116057
syntax,0.0029848552540442754
international,0.0029546404221878807
case,0.002953500015567068
may,0.002795972993114735
many,0.002794058374117983
state,0.002459092355489836
people,0.002417553027854309
following,0.002399449435624783
analysis,0.002396762909256319
workshop,0.0023786337932695067
speech,0.002376138869212775
know,0.0023433134322237933
student,0.002319678878419228
like,0.0022236004279600624
work,0.002181734398924387
discussion,0.002173356271684904
system,0.0021453392895238593
abstract,0.0020887226649674265
department,0.0020637927247187026
text,0.0020395896774952783
use,0.0020019905260426165
structure,0.001999657726267775
ac,0.0019744609674431208
science,0.001938157914712456
issue,0.0018796812221648555
well,0.0018119480504094
computer,0.001805253392150693
grammar,0.0017956415564960003
question,0.0017692736242838755
way,0.0017478404151693397
page,0.00165502538528318
copy,0.0016513994075783593
uk,0.0016511656704979141
first,0.0015749110675940517
must,0.0015180559940239844
usa,0.001503870808350435
two,0.0014299815015866044
form,0.001383986682406568
include,0.0013667348057435627
different,0.0012092041626568617
registration,0.0012083699426450331
area,0.0011680475601120281
contact,0.001162879481548242
john,0.0010574561148465169
example,0.0009977659275576204
th,0.0009857063956956894
le,0.000806929912971419
author,0.0007699323016885041
submission,0.0006402719224522091
session,0.0001705922813456586
